STD_YM,DAY_CD,INDTY_CGR_NM,CTPV_NM,CTGG_NM,RANK,YEAR,MONTH
201907,2,한식,부산광역시,중구,2,2019,7
201907,2,동남아,부산광역시,중구,3,2019,7
201907,2,중식,부산광역시,중구,4,2019,7
201907,2,분식,부산광역시,중구,5,2019,7
201907,3,양식,부산광역시,중구,1,2019,7
201907,3,한식,부산광역시,중구,2,2019,7
201907,3,중식,부산광역시,중구,3,2019,7
201907,3,분식,부산광역시,중구,4,2019,7
201907,3,동남아,부산광역시,중구,5,2019,7
201907,4,양식,부산광역시,중구,1,2019,7
201907,4,한식,부산광역시,중구,2,2019,7
201907,4,중식,부산광역시,중구,3,2019,7
201907,4,동남아,부산광역시,중구,4,2019,7
201907,4,분식,부산광역시,중구,5,2019,7
201907,5,양식,부산광역시,중구,1,2019,7
201907,5,한식,부산광역시,중구,2,2019,7
201907,5,중식,부산광역시,중구,3,2019,7
201907,5,동남아,부산광역시,중구,4,2019,7
201907,5,분식,부산광역시,중구,5,2019,7
201907,6,한식,부산광역시,중구,1,2019,7
201907,6,분식,부산광역시,중구,2,2019,7
201907,6,양식,부산광역시,중구,3,2019,7
201907,6,중식,부산광역시,중구,4,2019,7
201907,6,동남아,부산광역시,중구,5,2019,7
201907,7,분식,부산광역시,중구,1,2019,7
201907,7,중식,부산광역시,중구,2,2019,7
201907,7,한식,부산광역시,중구,3,2019,7
201907,7,양식,부산광역시,중구,4,2019,7
201907,7,동남아,부산광역시,중구,5,2019,7
201907,1,동남아,부산광역시,동구,1,2019,7
201907,2,동남아,부산광역시,동구,1,2019,7
201907,3,동남아,부산광역시,동구,1,2019,7
201907,5,동남아,부산광역시,동구,1,2019,7
201907,6,동남아,부산광역시,동구,1,2019,7
201907,7,동남아,부산광역시,동구,1,2019,7
201907,2,한식,부산광역시,금정구,1,2019,7
201907,5,한식,부산광역시,금정구,1,2019,7
201907,7,한식,부산광역시,금정구,1,2019,7
201907,1,한식,부산광역시,강서구,1,2019,7
201907,1,양식,부산광역시,강서구,2,2019,7
201907,1,동남아,부산광역시,강서구,3,2019,7
201907,1,동남아,부산광역시,강서구,4,2019,7
201907,1,중식,부산광역시,강서구,5,2019,7
201907,2,한식,부산광역시,강서구,1,2019,7
201907,2,양식,부산광역시,강서구,2,2019,7
201907,2,동남아,부산광역시,강서구,3,2019,7
201907,2,동남아,부산광역시,강서구,4,2019,7
201907,3,한식,부산광역시,강서구,1,2019,7
201907,3,양식,부산광역시,강서구,2,2019,7
201907,3,동남아,부산광역시,강서구,3,2019,7
201907,3,동남아,부산광역시,강서구,4,2019,7
201907,3,중식,부산광역시,강서구,5,2019,7
201907,4,한식,부산광역시,강서구,1,2019,7
201907,4,양식,부산광역시,강서구,2,2019,7
201907,4,동남아,부산광역시,강서구,3,2019,7
201907,4,동남아,부산광역시,강서구,4,2019,7
201907,4,중식,부산광역시,강서구,5,2019,7
201907,5,한식,부산광역시,강서구,1,2019,7
201907,5,양식,부산광역시,강서구,2,2019,7
201907,5,동남아,부산광역시,강서구,3,2019,7
201907,5,동남아,부산광역시,강서구,4,2019,7
201907,5,중식,부산광역시,강서구,5,2019,7
201907,6,한식,부산광역시,강서구,1,2019,7
201907,6,양식,부산광역시,강서구,2,2019,7
201907,6,동남아,부산광역시,강서구,3,2019,7
201907,6,동남아,부산광역시,강서구,4,2019,7
201907,6,중식,부산광역시,강서구,5,2019,7
201907,7,한식,부산광역시,강서구,1,2019,7
201907,7,양식,부산광역시,강서구,2,2019,7
201907,7,동남아,부산광역시,강서구,3,2019,7
201907,7,동남아,부산광역시,강서구,4,2019,7
201907,7,중식,부산광역시,강서구,5,2019,7
201907,1,한식,부산광역시,연제구,1,2019,7
201907,2,한식,부산광역시,연제구,1,2019,7
201907,3,한식,부산광역시,연제구,1,2019,7
201907,4,한식,부산광역시,연제구,1,2019,7
201907,5,한식,부산광역시,연제구,1,2019,7
201907,6,한식,부산광역시,연제구,1,2019,7
